Designator,Package,Quantity,Part,Digi-Key Part
"C1,C2,C3,C4,C7",C2,5,0.1uF,490-5388-ND
"C5,C6",C1V5,2,47uF,P13464-ND
"C8,C9",C2,2,1uF,445-8517-ND
"D2,D4,D6,D8,D10,D12,D14,D16,D18,D20,D22,D24,D26,D28,D30,D32,D33,D35",LED-3MM,18,3mm LED,754-1606-ND
"D1,D3,D5,D7,D9,D11,D13,D15,D17,D19,D21,D23,D25,D27,D29,D31",D3,17,1N4004,641-1311-1-ND
"J1,J2",RJ45_8,2,8P8C,609-1046-ND
"JP1,JP2,JP3,P18,P19,P20","PIN_ARRAY_2X1, SIL-5,SIL-6",22,header pins,A34253-40-ND
"P1-P17,P25",PP-2H-5MMSCREWTERM,18,5mm screw terminal or Anderson Powerpole connector,ED2600-ND
P21,pin_array_3x2,3,2x header pins,A34344-40-ND
Q1-Q16,TO220GDS_VERT,16,IRF510,IRF510PBF-ND
"R1,R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R36,R37,R38",R3,19,10k,10KQBK-ND
"R2,R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R39",R3,18,1k,1.0KQBK-ND
R33,R3,1,2.2k,2.2KQBK-ND
R35,R3,1,4k,not in stock?!
R40,R3,1,120,120QBK-ND
R41,R3-5,1,100 1/2W,100H-ND
SW1,SW-6MM,1,momentary pushbutton,SW400-ND
U1-U17,DIP-6__300,17,4N35,516-1557-5-ND
XU1-XU17,6-DIP socket,17,6DIP,A100203-ND
U18,DIP-28__300,1,TLC5940,296-17732-5-ND
U19,7805,1,LM7805,LM7805CT-ND
U20,DIP-8__300,1,SN75176,296-1739-5-ND
U21,DIP-28__300,1,ATMEGA328,ATMEGA328P-PU-ND
Y1,SIL-3,1,16MHz resonator,490-1214-ND
U22,TO-92-3,1,MCP1702 1V5 regulator,MCP1702-1502E/TO-ND
